{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.001, 'use_idf': True, 'count': 1, 'score': 0.7942376753152285}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0012000000000000001, 'use_idf': True, 'count': 2, 'score': 0.7942376753152285}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0014000000000000002, 'use_idf': True, 'count': 3, 'score': 0.7942125427408989}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0016000000000000003, 'use_idf': True, 'count': 4, 'score': 0.7942376753152285}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0018000000000000004, 'use_idf': True, 'count': 5, 'score': 0.7942376753152285}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0020000000000000005, 'use_idf': True, 'count': 6, 'score': 0.7942376753152285}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0022000000000000006, 'use_idf': True, 'count': 7, 'score': 0.7942376753152285}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0024000000000000007, 'use_idf': True, 'count': 8, 'score': 0.7941873893049397}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0026000000000000007, 'use_idf': True, 'count': 9, 'score': 0.7942125218792692}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.002800000000000001, 'use_idf': True, 'count': 10, 'score': 0.7942376753152285}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.003000000000000001, 'use_idf': True, 'count': 11, 'score': 0.7942376828972707}
